,Comment,Emotion
192,still feel wimpy may another skip around,fear
193,not feel safe room argument go room thing get rough,joy
194,feel piss pick toy,anger
195,feel goddamn piss,anger
196,hop scale morning feel none optimistic,joy
197,appreciate award feel many wonderful blog winner,joy
198,want feel shy want fun,fear
199,leave movie feeling frightened least convince number hold kind mystical power key government conspiracy,fear
200,always feel always understand people hateful harmful towards hurt teach wrongly hurt want go back undo pain childhood bigotry bind life path,anger
201,feel extremely pleased decide give guy another rupee,joy
202,feel torture every moment nowhere go get away get back use,anger
203,feel brave would nice black tip,joy
204,know think way always feel skeptical paint nail red since also light skin red really go stand cute way year old wear red nail without look like try hard look like hooker,fear
205,ward epileptic patient burn whole body stink much whole ward affect people could come near,anger
206,grow accustomed creative freedom live dance around house write song play guitar without feel inhibit eye ear other,fear
207,extremely positive feeling divine energy alone take quake boat shore,joy
208,feel long run hurt paulie could visibly see distraught result perception performance,fear
209,also would not mind canon mark iii anyone feel generous,joy
210,wonder genentech feel hostile takeover global partner,anger
211,feel run sarah mind support body,joy
212,feel truly impatient take long,anger
213,feel really greedy want stuff mom ask make list,anger
214,feel popular not want teach will not get marry get baptize can not obviously,joy
215,not hate honestly feel bitter towards atm,anger
216,particularly much say work well particularly feel like something clever new,joy
217,sometimes feel hate head,anger
218,feel pretty anxious overwhelmed friend rightly note probably boat mom grandmother great aunt flee except damn cold baltic sea,fear
219,feel like need cute picture share,joy
220,wake feel triumphant,joy
221,find hard feel jolly throng people around lose fervor get stuff can not see heart green wallet encourage constant barrage pressure every angle shop buy,joy
222,leave feel confused blah,fear
223,get feeling look eye sincere,joy
224,think lonely feel grouchy agitated esily airritate,anger
225,decide intentionally make easy even though make feel wimpy admit reason girl work day job,fear
226,watch movie call sharknado feel like intelligence insult,anger
227,feel apprehensive move worry blow money mean pay rego,fear
228,still feel like get walk well try,joy
229,tell continue way start feel frustrated let know calm way,anger
230,feel like boy disadvantage miss exciting entertainment home child feel like precious opportunity get close familiar nature,joy
231,capable late feel pretty bitter depressed lot gratitude general,anger
232,feel joy excitement opportunity receive vital ordinance,joy
233,worry time spend computer feel distracted party,anger
234,feel like can not brave,joy
235,wish could call wedding feel carefree,joy
236,not feel scared,fear
237,feel really content listen song,joy
238,not know like feel bitchy flirty,anger
239,urgent feeling write tell file make feel feel hesitant fear lead,fear
240,start develop feeling scare freak promise safe,fear
241,guess avoid boundary conversation feel little unsure confidence strength,fear
242,damn tired feel little grouchy,anger
243,feel quite something sure,joy
244,feel rude feel free grab seat next,anger
245,contemplate feel skeptical,fear
246,feel irritated useless hopeless,anger
247,feel bother get credit equal get debt interest,anger
248,hurt feeling anger last rant sorry,anger
249,feel angry feel self conscious short wish not alone,anger
250,feel petty thing extent human seem feel war start stupid little thing try might understand thing love two people feel jealous lead murder unhappiness,anger
251,feel pretty cranky morning stop really make feel lot well,anger
252,yesterday feel uncomfortable highschool sigh,fear
253,feel well menu tonight,joy
254,feel hesitant say anything positive try hold breath speak none really matter know shaun pass dlpt,fear
255,feel stress would watch movie alone walk street alone,anger
256,slough carapace crud envelop past thirty odd hour feel invigorated finally ready face day,joy
257,discover give great feeling satisfaction produce blog post delicious dish photo write recipe tangible job complete feeling rare life stay home mom,joy
258,feel lot pressure determined finish visit sister may clear conscience,joy
259,feel getting agitate something insignificant feel bored go remember quote,anger
260,feel bitchy guess,anger
261,much regret allow johann accompany khartoum feel convinced never rally present descara,joy
262,feel convince many factor culture kind cooking mystique,joy
263,feel angry kind sad tired bored today,anger
264,feel much festive tree,joy
265,feel like creative professional need unpressed creative outlet get inspire,joy
266,feel distressed supportive campaign senator jackson tell cnn,fear
267,feel like obnoxious post every three second,anger
268,girl enter division work greet everybody,anger
269,start feel apprehensive,fear
270,feel afraid stop shoulde,fear
271,feel bitter towards god,anger
272,teenager people feel need make sarcastic bitchy comment kindly fuck,anger
273,hate see red window even feel inside resonate cold uncaring world know exist behind make even aware pain inside,anger
274,understand feel uncertain abc link,fear
275,come china feel little frightened everything around,fear
276,tire hearing unique communication special feeling sincere,joy
277,get feeling nellie satisfied phone rang happy leslie room,joy
278,feel weird seldom people eat,fear
279,feel fearful,fear
280,slow bit stay partly feel like start win give partly afraid push kill try stay,fear
281,feel bitchy today today realize could not count friend anymore,anger
282,feel foundation faith shake core,fear
283,feel ending bit rush wonder might miss certain sign small thing story happen addictive not notice time pass,anger
284,feel like edge get point bother win hell whether fight even end,anger
285,feel crazily indecisive impulsive,fear
286,feel overwhelmed think country suffer,fear
287,feel heartless sometimes ability mourn lost someone relate past grandparent,anger
288,feel really free feel grow wing amp fly,joy
289,could not help feel infuriate leave building,anger
290,feel kind heartless,anger
291,feel stubborn strong ready fight disease,anger
292,also feel really pleased decide well cajole bully order go run evening,joy
293,sure feel slightly wrong police sheriff tsa always bad thing,anger
294,feel especially lively,joy
295,need mention difference feel vulnerable difference bit fear someway something wrong,fear
296,already feel less agitated,anger
297,want feel energetic bit exercise every day minute feel awake energized focused,joy
298,feel like greedy person like two people,anger
299,feel offended think justly,anger
300,think feel extremely cold yesterday brew something actual weather,anger
301,expressive feel distraught,fear
302,feeling smell go pleasant,joy
303,control issue though really kick badly feel unprotected not trust safety net,fear
304,can not let feeling one blink heartless person like give lot change give lot change come change decision give lot change find throw like crap,anger
305,feel despise feel world crumble onto,anger
306,feel bore restless,fear
307,feel frustrated anymore fierce us medium campaign egypt attack we know right track,anger
308,need manage spending money wisely feel uncertain stress late,fear
309,sadness,anger
310,feel uncomfortable word hero,fear
311,feel far distracted actually write anything substance,anger
312,feel wonderful tip backwards ambitious look back run race book read feel finger touch arm spin around feel alright book read eye,joy
313,hear somehow bring good feeling strange,fear
314,start explain big problem bottle feeling dump problem onto one person selfish search happiness feel everyone around find happiness,anger
315,somewhat difficult time try find something feel thankful,joy
316,feel like people like not getting catch therefore government play catch criminal petty crime make look well,anger
317,call someone feel like need least talk minute rude,anger
318,think also feel restless,fear
319,ask join create world year old girl could grow feel hopeful powerful,joy
320,feel strange thankful awful thing side ocean surround country happen daily basis,fear
321,know need get drag foot combo feeling intimidate language barrier kid nap schedule,fear
322,tell horsey people rare find feel quite lucky,joy
323,feel study find indeed perfect example christian especially latter day saint,joy
324,feel rebellious eat,anger
325,feel uncertain motive feel inbalance committment process counselling reconciliation,fear
326,still feel weird day,fear
327,feel like opportunity become smart embrace knowledge really learn everything daydream learn,joy
328,feel useful serve reminder come long way since first day vertigo,joy
329,could feel blood vein go cold,anger
330,start feel super emotional time strange,joy
331,feel pretty rebellious right write engineering class,anger
332,use feel would hate whatever keep quiet god,anger
333,feel life threaten illness lose mind,fear
334,really hope get far enough ahead we could feel like navigating delighted punch second control head onto trail wood,joy
335,feel frustrated can not tell,anger
336,want say something bad vibe feel hostile not think good night,anger
337,feel eye many turn away disgust self indulgence audacity british woman admit point failure,anger
338,feel incredibly charm people life exciting amazing chapter thing,joy
339,feel jealous everyone chance meet everyday,anger
340,bring privately couple week ago feel target feel frustrated belittle,anger
341,feel honour client walk door sometimes first time trust brand new one week old bundle joy,joy
342,sure great film guess not feel appreciative long day,joy
343,feel suspicious innanimate object though house actually set play movie kind model come carpet look like,fear
344,feel hesitant put word page feel like every time hit key tempt fate take away,fear
345,watch snow fall accumulate conifer tree shovel shirt sleeve feel vigorous,joy
346,feel could successful outcome explore new style keep close remain,joy
347,feel glad still teach home,joy
348,feel overwhelmed give people middle finger tell f,fear
349,feeling satisfied performance car,joy
350,tend lose feel water pretty quickly water every day feel race,joy
351,flatmate ask question relationship boyfriend,anger
352,feel honour choose share,joy
353,feel tat we world clever depend u bear u bear errrr good still would good thing u u dun realise lol noe quite lame hope one read img src http share,joy
354,wonder cast caveman tell perfect part feel insult compliment,anger
355,feel high ecstatic normal feel like thousand mile drop unhappy excruciating,joy
356,feel festive right lovely wintry scene walk dog day href http,joy
357,work plenty yet find one leave feel satisfied way spend another day never get back,joy
358,know feel sarcastic tonight christian seem enjoy banter every time seth apologize behavior christian tell quite alright lock eye,anger
359,find feel agitated kid play ask play way little,fear
360,feel excited eager,joy
361,issue obvious go chinese yesterday feel hostile towards,anger
362,find never stop feel excited company future,joy
363,sit dave atell first try feel rude guy eat,anger
364,good hide true feeling blurt sarcastic tone,anger
365,feel really energetic night honestly need,joy
366,feel beginning cold figure deserve heinously hot bath,anger
367,inclined believe simply lazy feel particularly greedy,anger
368,feel almost angry feed like lab rat many year,anger
369,could not feel thing however kind bother not feel pop,anger
370,feel insecure time,fear
371,say feel strange utter word space flight still pretty novel way travel time,fear
372,actually feel insult plot go tangent like,anger
373,arrive gym ball sunshine make feel welcome gym although feel like dorky unfit rotund sloth fit environment buff fit looking fierce looking bloke,joy
374,feel impatient stop body give positive response,anger
375,lot uncare man life still feel strange several call come reach weak moment,fear
376,risk feel vulnerable feeling everyone stare examine every little dimple thigh sag arm,fear
377,also feel extremely blessed marry loving family,joy
378,friend sometime feel insult around,anger
379,also discover feel less agitated caffeine craving cope method unnecessary huge,fear
380,discuss even feeling beloved anyone,joy
381,feel like dissatisfied thing think dissatisfied much change still feel bad time,anger
382,feel super glue bed,joy
383,must say initial splash bad stroke could feel cold getting bone,anger
384,wake today feel piss,anger
385,go feel little hostile feel like not really care,anger
386,feel distressed not know though,fear
387,feel anxious nauseous tired also elated night crawl bed,fear
388,experience normal mood feel annoyed year old whine baby want hold make dinner long feel consume emotion,anger
389,get feeling rest little appalled,anger
390,feel hated useless sometimes even ask not kill yet,anger
391,feel extremely insulted,anger
392,drive home aware feel like call ask ok,joy
393,conveniently uninformed specific situation leave feel helpless want ever get away,fear
394,feel quite pleased something never do,joy
395,feel mistake rude,anger
396,play fps game time leave feel like mentally emotionally dangerous thing switch important part brain play,anger
397,feel learn purpose working universe continue evolve transcend productive along journey,joy
398,continue way despite feel bit strange flexy new shoe sweat soak back,fear
399,find feel anxious see everyone else feel part peer stagnate,fear
400,help feel bit anxious delivery go hopefully another vbac go plan,fear
401,feeling security character want someone else get role afraid well,fear
402,go back hostel break feel anxious get back see take,fear
403,also love see star emerge feel like year everyone go to know one people say obnoxious thing like bah,anger
404,feel bit adventurous put red lipstick rouge artist intense make ever,joy
405,thing feeling afraid express stand believe,fear
406,also feel little selfish get excited hit friend friend make feel victorious choice,anger
407,want pass away feel good brother grandparent,joy
408,spend much morning feeling like impostor visitor someone else life uncertain anything next,fear
409,feel petty say fuck technically not get gift,anger
410,feel see always possibility someone might laugh feel disgusted easy express feeling story boyfriend,anger
411,never feel brave want believe order brave make conscious choice whether want brave,joy
412,feel bit apprehensive not know little note card stand mass talent etsy,fear
413,feel like ya allah scared puff fun man idea,fear
414,feel like leave artistic equivalent crack couch cushion,joy
415,start feel anxious,fear
416,probably lazy lounge around house possibly go pool depend feel bother last day go back work yeah,anger
417,know tenge get almost anywhere feel impatient offer,anger
418,overhear victory tune geek ringtone feel triumphant,joy
419,not even know express make feel kid appreciative fact come heavy think maybe music give little something grasp,joy
420,end change clothe lay bed eye close next hour eventually start feel well,joy
421,feel like people appreciative many happiness pinnacle way non materialistic,joy
422,feel fault wrong cause abandon,anger
423,remember feel innocent look day,joy
424,find barely breathe feel little frantic,fear
425,feel afraid,fear
426,happy report not feel anger urge smack olivia today way feel,anger
427,do music movie production last four year feel time fashion passionate,joy
428,feel like distracted robot,anger
429,feel worthwhile document people familiar batch file,joy
430,feel grounded less fearful,fear
431,even sure formulate thought since put feel slightly overwhelmed,fear
432,feel determined smash round really give something proud,joy
433,feel like really grouchy day get mood feel like world,anger
434,hesitant make suggestion feel outcome would sincere,joy
435,really feel good,joy
436,head relate workplace irritable someone tiny bit low status response someone high make feel momentarily pressure,fear
437,begin feel afraid disappointment tour rain fog continue,fear
438,feel kind ick figure nerve feel anxious,fear
439,feel resentful give boring assignment,anger
440,feel bitchy saturday,anger
441,may attempt hair color session later feel brave crazy saturday night,joy
442,work hard shake feeling popular genre novel non literary fiction make book less legitimate less something read enjoy analyze,joy
443,say however awfully difficult feel glamorous sensational heat ash stench greasy hair basic post yeast infection mode,joy
444,drive home feel like petty thief steal exposure crudely stick camera ancient,anger
445,mad upset day feel scared,fear
446,go back work feel agitated lazy transform state yell not know,anger
447,wish could say fuck people make feel insecure ever exist,fear
448,think hope vanquish england failure watch feel envious determined everything improve maybe one day something similar die,anger
449,might go get car wash feel really generous car need,joy
450,feel apprehensive life student feel like could not succeed would not succeed could never succeed,fear
451,feel long thing look cool,joy
452,somehow feel hesitant,fear
453,feel really irritable everything drive insane,anger
454,feel well grouchy lazy ill sometimes forego bed favor futon couch little shut eye,joy
455,feel less bitchy morning,anger
456,feel like get resentful tired want talk badly,anger
457,relative car go slowly frozen road,fear
458,forgive accept allow feel uncertain application within reveal feel uncertain within,fear
459,aware concerned everyone give attention marriage death also equal seriousness elderly woman feel helpless know oven buy,fear
460,car accident car total wipe wipe,fear
461,feel point equally important,joy
462,feel get timid day,fear
463,feel agitated usual evening mood become norm,fear
464,could feel warmth strange stillness comfort,fear
465,time feel bit strange mom usher though traumatic brain injury really toll mental physical capacity,fear
466,spring fle feeling like flower unfurl artistic soul ready sunshine,joy
467,feel acceptable put forth little effort today post,joy
468,feel like sooo distract need regain focus,anger
469,hurt feel suspicious definitely get angry,fear
470,must confess feel little overwhelmed,fear
471,feel leave hate extra,anger
472,feel fine without,joy
473,feel like paranoid annoyance reality would talk anyone way,fear
474,also feel rude see family doctor approach together ailment,anger
475,feel rediculous petty yet justify,anger
476,fling suitcase last minute break crossing explode pressurize cabin thus far feel pretty splendid thing,joy
477,feel furious pathetic furious various reason,anger
478,feel kinda shaky mind full doubt good luck love,fear
479,sometimes feel vulnerable,fear
480,would feel lucky call material kit site mine beautifully curate,joy
481,okay feeling annoyed life time,anger
482,empathize feeling dissatisfied want not feel way,anger
483,feel hostile enough even hate jim right,anger
484,feel pissed sad right,anger
485,not sure could concern people around feel incredibly apprehensive turning back may well dance cliff face,fear
486,love run feel strong powerful totally control,joy
487,alternate wish would die feel terrify something would happen leave newborn son without mother,fear
488,feel conflicted whether follower christ celebrate ever popular pagan originate modern day holiday,joy
489,like feel unsure uncertain,fear
490,lose interest read story feel like tension resolve happen time yet keep want read,joy
491,stare feel utterly helpless,fear
492,feel selfish thinking way feel lonely time,anger
493,feel happy enjoy change life look forward unknown good time yet come autumn winter suddenly new step journey,joy
494,not measure food drink nearly enough water track fitness overall feel completely shake unfocused not feel like foundation steady moment,fear
495,admit past do lot time scoff feel superior christian,joy
496,feel strategy worthwhile,joy
497,feel benefit last year creative future could part information learn last year already put practice therefore year session already rather inspire start,joy
498,feel opportunity return moz god gracious gracious way give heat desire despite self doubt uncertainty past,joy
499,feel need consolidate step back evaluate purpose blog provide fabulous vicarious life live sarcasm always come across print,joy
500,feel like part race stress,anger
501,feel disgusted ashamed,anger
502,mean sensation experience influence mood simply point say discomfort body make we feel irritable,anger
503,afraid already feel slightly place cru say friend bother reach ask thing go australia,anger
504,already feel frantic,fear
505,feel weird criticize game much feel weird praise,fear
506,feel little stress can not much right wait couple tax return mail letter jason employer take quite time,anger
507,feel comfortable decision,joy
508,feel quite disorganised distracted wish could answer question seem unable block forget answer logical answer uuuugh,anger
509,feel remotely dignified tasteful comfortable,joy
510,see feel divine possibility away alone one long golden day last anywhere,joy
511,heat discussion spouse concern new house,anger
512,imagine real life scenario would emotionally connect enough someone feel totally accept safe morally acceptable close prolonged physical contact sex expect subsequently,joy
513,feel popular blogger not post freedom anymore always part control rare exception blog love aesthetic,joy
514,never fall love anyone feeling make dangerous,anger
515,write know would make feel shy,fear
516,still numb question everything feel terrify trust feeling,fear
517,admit feel shake,fear
518,feel scared worthless someone love,fear
519,forgot take med morning predictably feel irritable less predictably sit day think kill bitch not get hand chocolate cupcake,anger
520,somehow feel terrified though dare slow walk place catch breath billy blank jump screen yell face fierceness,fear
521,feel jealous feel insecure,fear
522,month medication feel fantastic,joy
523,think think really feel insecure,fear
524,occur prepare midterm social welfare think go hard feel unprepared,fear
525,feel energetic strong,joy
526,really need money right feel like greedy nasty aunt want hand everything,anger
527,enter temple feel vaguely terrified,fear
528,feel like rude ass hole hookah,anger
529,sometimes feel like strange world,fear
530,never feel popular,joy
531,go add photo today thank dear support feel overwhelmed different moment,fear
532,sure pleasure live open air sky roof ground table part feeling savage return wild native habit,anger
533,feel doubtful,fear
534,get involve tale good versus evil want feel afraid dark certain extent,fear
535,want talk limited time phone current arrangment feel hesitant bring,fear
536,feel really ok,joy
537,feel strangely indecisive also not really believe,fear
538,feel like little barbie doll get decorate hate heel wear,anger
539,feel like character precious,joy
540,admit thought go head feel doubtful times coz scared,fear
541,feel doubtful even struggle bit faith even time seem dark feel alone know god,fear
542,see friend part feel like leave bedroom could dangerous,anger
543,still feel expect piece world afraid come close place expectation upon fear hell disappoint,fear
544,feel anything strange tugging relieve say least,fear
545,two shot lupron feel fine,joy
546,already feel terrific,joy
547,work today writing make sure rest house perfect could make feel peaceful sense order pm linda write always make feel well accomplish,joy
548,rarely feel hesitant say something sometimes even much,fear
549,feel like affirmation however petty really need,anger
550,not know feel less paranoid,fear
551,want feel maybe something feel convince nvm state mind due deliberation,joy
552,hate feel indecisive thing keep emotion lock key,fear
553,feel like thing nervous two kid,fear
554,feel artist put forth piece work even one agree respect even sake overcome shackle society norm,joy
555,feel bless able leave,joy
556,remember beauty truly eye beholder people see beautiful compliment statement valuable find person people want kick someone feel vulnerable,fear
557,feel fearful,fear
558,set mind want specific item need specific event specific time find ill end spend want feel pressure constraint,fear
559,reason wonder confuse feel angered say selfish say cold,anger
560,get thing do really need feel good,joy
561,guess everyone stand feel timid move crowd,fear
562,feel resolved less like smoke lung today obviously happy,joy
563,would veer feel utterly terrified utterly disorientate utterly queasy,fear
564,feel bit rebellious today,anger
565,feel rich pass see penny,joy
566,know day feel distracted,anger
567,feel energetic fresh great thing eye sight improve lot,joy
568,actually feel hopeful today,joy
569,walk whole distance sample four five stretch come home feel charm experience,joy
570,nod proud decision procure pump feel slightly smug,joy
571,can not help feel little jubilant walk arrival gate,joy
572,not read blog guy feel thrilled know,joy
573,feel like sociable anymore,joy
574,feel market somewhat dangerous position trader end wrong side right,anger
575,feel quite mellow want soft easy look wear beginning cold,joy
576,feel passionate certain topic love back position actual knowledge fact instead rely solely opinion,joy
577,get change feel insecure,fear
578,mostly feel contentedly terrify,fear
579,feel rather inspire yet low enjoy writing even though may write morbid thing find way make interesting read,joy
580,still feel annoyed old sd always sick something mean always,anger
581,feel restless quite ground,fear
582,feel reward useful valuable anyway,joy
583,feel reluctant whole day today thing feel like stick ass bench ground heart heart talk favs stare space nothing,fear
584,might feel bit proud one left wrist turbillion watch make hong kong,joy
