,Comment,Emotion
151,tell maybe need time think feel indecisive thing lately,fear
152,still feel genre disservice story resolve artifically,joy
153,always know feel artistic write name artistic mood manitz draw circle dot big dot artistic feel line like accent mark spanish piss,joy
154,remember feel really terrified brazil bus go steep mountain hill side mountain middle big storm wonder go fall,fear
155,could feel whimper thought unloved uncared,sadness
156,certainly go sit tell go personal life feel ever curious go life watch show,surprise
157,sorry not humor post feel funny,surprise
158,feel get foot door fantastic world walk run trail fell mountain,joy
159,say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,anger
160,feel strange come back work one day holiday,fear
161,clearly influence dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rush enjambment sonnet,anger
162,fat thing life remain control whether get eat peanut butter bread get home impossible day first world look yet third world feel hell needy neglect little girl,sadness
163,could claim redeem genre leave feel entirely frustrated point beat head wall either,anger
164,feel sad hopeless,sadness
165,get feeling class little intimidate concept lit,fear
166,still feel groggy get routine son,sadness
167,feeling view not go popular fine,joy
168,want hold feeling shocked awe wonder forever,surprise
169,hear rumour st year exam result fear might one failure,fear
170,want feel value appreciate know people love not go anywhere even nature relationship change,joy
171,know day feel distracted,anger
172,use regularly relax music always feel invigorate afterward,joy
173,feel distract tend practice eye shut much possible,anger
174,feel like perfect w see youtube influence even know trend,joy
175,specifically want tango feel shy mak quite opposite hard get far enough away get good pic lol,fear
176,also feel weird sleep bed two sleep,fear
177,wish okay think early today here thing coope amp restless make feel needy,sadness
178,lose weight could fit tiny skirt unable wear not feel confident,joy
179,hope feel bit creative soon miss presence life blog,joy
180,fan current president conservative make feel unwelcome,sadness
181,enclose verse could weigh much thinking feel curious hear odd couple,surprise
182,begin feel complacent life,joy
183,feel vulnerable alone,fear
184,remember feel inspire think fine example parenting,joy
185,feel like always one getting punish stupid thing feel like chastise behave,sadness
186,really feel life perfect right not much ask hope everything would stay,joy
187,simply feel contented,joy
188,say cut everyone life feel important find comfort solitude meditation work project alone,joy
189,think stupid feel nervous,fear
190,feel honored,joy
191,feel act god work life amazing feeling,surprise
192,feel like bird fly air carefree manner,joy
193,revise reply mind make sure reply sound appropriate enough person receive reply feel offend,anger
194,feel sad friend mine die feel something irrevocably go away,sadness
195,die would alex matt feel regretful come visit,sadness
196,feel educate family support educationg mama papa key,joy
197,sure lose feel like everyone hostile toward hate feel,anger
198,feel like boring sewing make since easy nothing else say fabric usage,sadness
199,always like use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,joy
200,feel like talente young man feel talented work,joy
201,feel curious thing around,surprise
202,feel reason apart other live help become something push succeed successful happy,joy
203,feel uncomfortable guess,fear
204,feel pretty mellow far whatever healing wounding process may get underway,joy
205,wonder sometimes whether add antagonism misunderstanding many people towards we feel reluctant wholeheartedly support traditional armistice day remembrance,fear
206,leg would feel shitty mile would come around like always,sadness
207,know unfair reaction run way explain feel shake good come right,fear
208,seriously feel blessed support home amazing,love
209,feel abuse malign mostly tired nervous feeling anticipate danger,sadness
210,feel pretty restless right type,fear
211,know gosman touristy place go montauk area infrequent visitor area want head harbor feel gentle cawing seagull lap water wood piling relax breeze come water,love
212,admit hilarious e card seriously exactly feel stress feel moment could start hy,sadness
213,write last year feel dull inarticulate normal,sadness
214,kick gear feel irritable motivation ever,anger
215,feel child innocent feeling illustrate,joy
216,satisfaction feeling long support contribute looter drive consumerism make walk corpse america revere young,love
217,start feel resentful,anger
218,spend vacation obligation headache feeling like emotional blackmail three place,sadness
219,feel herpe come would surprised point make checkup clinic wednesday,surprise
220,feel fuck like everyday life,anger
221,work really hard year try make child class feel like value,joy
222,feel dishearten word late,sadness
223,feel like bitchy time upon retrospect think try shake,anger
224,still second guess still terrible time make definitive decision certain truth know feel assure truth,joy
225,feel like egg benedict something equally delicious,joy
226,feel way trust,joy
227,feeling inspire summery element favorite past time beach bummin,joy
228,feel smile love even gorgeous,joy
229,continue define discover home mean amsterdam whenever feel pang blank sickness line miss cultural mindset american city life much different cultural mindset amsterdam,sadness
230,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely,joy
231,say feel sympathetic,love
232,feel eager hop tube ride eye london,joy
233,go online see friend talk another one talk feel ignore feel unloved,sadness
234,monitor say anything ever come across blog feel offended please not stop,anger
235,feel like weird cancer one time,surprise
236,want feel safe well maybe maybe small chance feel joy dream come true,joy
237,feel cranky,anger
238,also think puzzle particular administrator single praise ability get student read feel ssr time productive use class time,joy
239,try fill befriend people know use not care need feel accept even complete loser,love
240,feel stress always,sadness
241,remember feel another cramp also ignore,sadness
242,hope feel mellow well fed well sleep peace within external world,joy
243,also learn take lot effort positive thinking break tear feel exhausted guilty well mom,sadness
244,feel awful hang friend new baby day,sadness
245,feel relaxed fine,joy
246,feel suffering really feel pain,sadness
247,go sleep feel give precious time something else life,joy
248,feel like neglect beloved mom blog,joy
249,shalt say cos din feel thing write hw keen xxx,joy
250,feel terrified like edge precipice stare ahead,fear
251,feel totally listless exam come go whole five month front uni free time,sadness
252,feel furious right life advocate tell live die lobby support politician sympathic view,anger
253,feel abuse way,sadness
254,still pay attention feel distracted,anger
255,start third block feel hot cold tingly time know still five hour examination ahead idea would good,love
256,hesitant make suggestion feel outcome would sincere,joy
257,feel terribly fond majority precise time,love
258,feel gain control damage good aspect personal security,sadness
259,bomb first interview leave second interview feel pretty fan freaking tastic,joy
260,think kind take we long build good inventory sauce oil spice non perishable feel like chance make something delicious without specifically go buy every single item recipe,joy
261,feel advise dad whose child soon become teenager cool pull kid high school pick smelly jalopy plant come window,joy
262,feel victimize drag country head sand traditionalist hesitate call conservative fear offend real honest god conservative still think world create year ago stuff like skeletal remain kind hoax,sadness
263,would feel lucky call material kit site mine beautifully curate,joy
264,blood prove reason feel lethargic rubbish low iron prescribe iron tablet,sadness
265,mind feel like mind dangerous life,anger
266,feel like love everyone least compassionate toward other,love
267,feel punish neglect,sadness
268,feel like not capture beauty lovely polish,love
269,feel like lose main root feel less secure emotionally financially socially,sadness
270,feel like bite bullet every time think feel stress fully support decision,sadness
271,know obnoxiously immature sound verbal tic voice kind nasal always come across like sharp tool shed especially feel awkward know know know,sadness
272,terrible nightmare feel little disturbed,sadness
273,not want walk pass case customer feel disturbed,sadness
274,want sufferer able find hope battle help feel alone,sadness
275,feel exceptionally reluctant go school tomorrow even though monday timetable pretty good,fear
276,festive feel delicious wheeeeee great night,joy
277,look forward beat feel like disappointment husband emotional pain,sadness
278,sick feel crappy,sadness
279,feel like almost convince go pattern,joy
280,also wear wear dress make feel slutty feel like antique underwear obviously little bit edgy maybe little bit little bit,love
281,feel perverse pride self control manage stay order reach tempting human flesh close we,sadness
282,feel impatient easily annoy outraged blatant defiance seem olivia prominent characteristic day,anger
283,positively giddy kid leave morning last official class year feel little sad,sadness
284,feel supportive also can not help feel jealous,love
285,mainly like text feel like much clever write word rather spoken,joy
286,seriouly feel respect not privacy order around,joy
287,say word devotee feel relieved hear title deen bandhu fall person become afraid title uplifter devotee consider true devotee hence unworthy benefit aspect personality,joy
288,personalitie feel pain suffer,sadness
289,guess would feel like joseph walt trust care mother finance six month die time want defend self god make quiet,joy
290,warm start feel little lethargic,sadness
291,feel excelent sometimes nothing especially since really keen video game anymore watch bit anime movie get life,joy
292,wonder master feel r wanting eager please master could much enjoy attention wrong desire return affection,joy
293,feel little bit positive thing quite hard first saving eat quickly cost not want become burden boyfriend come end feel bright inspired thing come,joy
294,feel rather sentimental right say feel lucky maxs mom,sadness
295,make show feel isolated crowd ill know wrong anti social feeling,sadness
296,learn turn emotion often find feel completely blank mother cry continuously suicidalness,sadness
297,feel loyal style,love
298,understand may feel rather bit vulnerable homeless london precise way,fear
299,finally stop feel listless like waste space,sadness
300,know feel agitated side effect high dose,fear
301,feel shift positive,joy
302,feel brave enough,joy
303,fear thief,fear
304,feel clever nov,joy
305,always spend money mean feel dissatisfied exit store,anger
306,feel really quite angry,anger
307,feel kerry not support civil union gay equality,love
308,feel really ashamed,sadness
309,feel amazing people life,surprise
310,finally leave feel judge ridicule intelligent,joy
311,start feel bit insult stranger,anger
312,many day feel hopeless today light end yellow brick road shine little bright,sadness
313,actually feel sorrowful,sadness
314,see woman wear boot feel envious want curse,anger
315,feel feel tell together apologize make keep love bit bit,love
316,go say feel impressed naomi klein right,surprise
317,begin feel sense dull cold black unconsciousness come,sadness
318,suspect feel less fond private,love
319,honoured young woman feel comfortable enough ask kind faux hawk thing go back must look dykey enough feel safe talk,joy
320,wonder cast caveman tell perfect part feel insult compliment,anger
321,feel convinced plus many diverse price tag feel sure everyone come fund plot light relatively economically,joy
322,feel empty baby not,sadness
323,stop feel exhausted href http provokingbeauty,sadness
324,feel font friendly,joy
325,hand bead consciously breathe consciously work feel calm list thing accomplish afternoon,joy
326,always feel intimidate people especially always compare people ever since young,fear
327,make feel rotten,sadness
328,start feel hostile check hemorrhoid,anger
329,love wear new shoe feel glamourous get pair designer shoe love box trimming come,joy
330,know largely fact feeling romantic sexual successfully hide,love
331,love feeling something warmly hug feel precious small precious someone something,joy
332,feel far mellow normal,joy
333,become dismayed study people wear start feel like though outfits gorgeous buy way,joy
334,not want wax draw anything need unibrow maybe get rid spare hair creep toward eyelid feel brave,joy
335,feel lucky width li style border px list style outside margin px px,joy
336,recall high school feeling longing watch olympic runner feel st,love
337,wake feel confident watch bodypump dvd gather coach tip compulsory cue,joy
338,not say strong feeling always make skeptical first,fear
339,want talk limited time phone current arrangment feel hesitant bring,fear
340,begin feel good chance might pass,joy
341,feel like little control help sweet pea well know ahead,joy
342,feel like receiving end violent attack,anger
343,feel worthwhile document people familiar batch file,joy
344,feel especially thankful many small blessing life right,joy
345,hope weatherman right forecast stay home not venture rain tomorrow feel kind creative,joy
346,feel like edge microcosm one awkward moment miss party outside,sadness
347,feel bit funny actually,surprise
348,learn nothing else last two year good feel way trust instinct,joy
349,feel also blossom eager anxiety,joy
350,feel burden share,sadness
351,always want nemo side sleep without feel weird even though not happen often get,surprise
352,feel outfit heel gorgeous,joy
353,feel confused,fear
354,feel session useful give tool need move forward life,joy
355,feel selfish bring loneliness child know parent newtown grieve lose baby,anger
356,take away disappoint feeling paining give heart heal lord one love never betray never lose loyalty even loyal,love
357,feel envious embarrassed,anger
358,could feel frantic need need make,fear
359,feel overwhelmed responsibility teacher someone trust precious gift honor,surprise
360,feel tranquil right great,joy
361,feel frustrated new music new lyric clearly nothing,anger
362,think go talk try work thing shocked find steve decide want thing break feeling unloved,sadness
363,would not bear witness incredibly well speak bouncer make emo kid feel completely unwelcome,sadness
364,tend stop breathe feeling stress,sadness
365,smoker year quit week ago right finish book can not believe free feel know quit terrify life without cigarette,fear
366,go mailbox talk mailman grocery clerk etc matter small step limit risk complete total willingness experience whatever thought feeling sensation emerge important,joy
367,already feel frantic,fear
368,feel like insecurity good thing first start write picture,joy
369,feel compliment insult,anger
370,crave fall submission feel submissive least,sadness
371,feel tender fine,love
372,feel irritated piss even like someone wake moment edge fall deep slumber,anger
373,make work feel little groggy,sadness
374,want love feel like sort hindrance keep love,love
375,feel fond ok second thought really sensitive spell everything,love
376,ill get round quarter feel hopeful one,joy
377,start feel unwelcome life people already tell,sadness
378,feel absolutely fantastic hope baby,joy
379,watch snow fall accumulate conifer tree shovel shirt sleeve feel vigorous,joy
380,feel bitter honkerblonke general,anger
381,feeling father already convince,joy
382,love feel passionate live dream get taste feel like nothing stop,love
383,play rain squeal glee feeling mud squish toe enjoy pretty much anything take place outdoors,joy
384,feel humorous put cold caller hold,joy
385,busy stuff never blog thread make feel miserable,sadness
386,feel energized curious life god potential give something back society find someone heart,surprise
387,feel privileged also lot work,joy
388,pretty happy little nauseate side feel thrilled,joy
389,close eye hear pitiful wail sound cry taste salty taste tear feel anger hurt saturate heart,sadness
390,buy virtually fat free thousand island feel impressed hold large quantity substance leave lettuce cucumber friend total sugar become burn fat,surprise
391,sure folk virginia florida handful swing state agree feel put upon insult constant barrage,anger
392,feel like put innocent man death row,joy
393,sure else help feel smart,joy
394,begin feel every wake moment devoted work,love
395,feel thankful lesson learn,joy
396,feel longing sadness see family child,love
397,feel distinctly call clermont focus little one seem naughty,love
398,hope feel glad give many thing include memory cherish,joy
399,feel pretty worthless right,sadness
400,feel project clever useful enough figure would start share instructable write first one weekend,joy
401,continue think along line probably would do dish anger get fight feel completely abused,sadness
402,not feel especially nervous finland land paris little unsure would ahead we think st grade student janne suominen,fear
403,feel envious kid certain moment,anger
404,feel like pretty crappy mom,sadness
405,feel pissed aac feel kind miserable frustrated life whole week,anger
406,scared anymore fine feel terrific surgery,joy
407,still feel vulnerable around,fear
408,honestly sure feel stunned,surprise
409,feel caring person attract caring people life,love
410,leave feel quite embarrassed say nothing new,sadness
411,feel unwelcome place buti can not decide scared anything ok situation stay dead end situation afraid thing get bad,sadness
412,may may cry thank make child feel special love,joy
413,really want go buy yardage art gallery play feel amazing,surprise
414,feel like lose sense self adapt think loyal,love
415,feel burden several love one miss big kid not see since friday,sadness
416,feel still really low abdoman,sadness
417,feel like welcome tight knit family make sure feel alone ever,joy
418,feel doubtful,fear
419,usually use small lego however year student fine motor delay want student feel successful,joy
420,get exercise feel like something worthwhile meantime,joy
421,feel like life rich fulfil know people look way live feel misplaced pity,joy
422,feel bless amazed yes excited,love
423,feel hesitant talk,fear
424,try get least minute day five day week though know skip workout feel particularly lethargic lazy,sadness
425,feeling beat sick utterly devoid hope ever life want,sadness
426,feel hesitant comment want add pileon seem clear involve learn past experience interested apply learn future project,fear
427,feel quite passionate communion tremendous importance personally theologically,love
428,feel happy well,joy
429,find much time think without feel depressed actually able write imagine without feel trap like miss something near constant feeling city,sadness
430,get feeling brig sincere strong desire help other become successful financially also build strengthen relationship christianity,joy
431,feel like fake feeling lot often would like,sadness
432,feel energetic decide go bike rest temple,joy
433,really like say understand way feel toni ight blame excess merican dream seldom witness never er see hah hah hah hah hah,sadness
434,happpy get good result field academic athletic,joy
435,not know want work always something make feel stressed anxious work whatever job may job require sort rule pressure,sadness
436,pop chair feel like something worthwhile,joy
437,really hope get far enough ahead we could feel like navigating delighted punch second control head onto trail wood,joy
438,feel like normally would angry actually think could never beautiful size,anger
439,wonder many people feel like perspective think sake without want turn result crappy work,sadness
440,feel indecisive whether feel book huckleberry finn censor,fear
441,know like kamiki kun laugh nozomi feel unpleasant knot stomach must think fool nonchan,sadness
442,make choice start recognize feeling unloved kick choose keep persistence level allow old reaction shut,sadness
443,feel like hate celebrate can not wait till day say make,anger
444,still feel funny writing like maybe call spirit guide really observant cheerleader something,surprise
445,would rather feel nothing feel surprised find life depressing grey unrewarde,surprise
446,feel comfortable decision,joy
447,get really sweaty episode stomach feel really funny like free fall,surprise
448,feel overwhelmed lately,fear
449,learn much wonderful world beaubronz feel lovely tanning brand fit perfectly late mantra steal boudoir lash mother asma docrat,love
450,feel rebellious particularly like watch romcom get feeling may pretty good write,anger
451,not feel welcome first enter morris quickly change leave feel happy,joy
452,contemplate feel skeptical,fear
453,become anxious recent time certainly feeling amongst people belief siege often disadvantaged look consider way different faith make less worthy regard say,sadness
454,feel like care bit heartless,anger
455,hate chemo thought toxin wash every single cell make feel horrible make cringe,sadness
456,feel honoured host series talente,joy
457,love feel threaten around little,fear
458,feel read allthingsbucks blog bring tear eye lump throat feeling worthwhile thing upset not write lame blog,joy
459,feel determined not take long start nomming naughty stuff,joy
460,feel honored many wonderful artist display work public see,joy
461,remember fully stress fun feel could lively,joy
462,feel daze href http twitter,surprise
463,feel bitchy hurt,anger
464,always feel like assault pic,sadness
465,thankful everything seem work wrap week new job also feel pretty lucky people life,joy
466,feel incredibly isolated lonely,sadness
467,feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,anger
468,blood test yesterday perhaps feel particularly fond right doctor needle inside time spend dizzy head non meat eat nineteen year old female,love
469,admit worried feel isolated work cubicle pretty much unless someone need,sadness
470,feel like life fairly sweet,love
471,go clean slate unilaterally forgive feel wrong someone love intentionally carelessness thereby time forget perceive insult abuse,anger
472,feel like year teach get passionate job find love kid want try even hard,love
473,one people bury feeling anger second give sweet smile even pain anger,love
474,know holy spirit work plus feel divine gooooood way like massage reassure,joy
475,feel though reach point career highly respect,joy
476,make light sometimes feel really awkward small group one one conversation,sadness
477,lot good day feel fabulous lot energy lately also bad day feel gigantic slow clumsy,joy
478,also feel like google hate seo know,sadness
479,not get wink sleep night continue feel fabulous next morning,joy
480,feel like feel mistake time fuck sleep take,anger
481,love slide nice big throbbing cock feel gorgeous body man,joy
482,find novel position feel bit uncertain stock market rally,fear
483,feel like judge want seem like needy girl know,sadness
484,definitely feel festive,joy
485,feel burden presence,sadness
486,still feel little dazed sort disbelieving feeling oh god,surprise
487,feel super excited week seem fly get close close due date,joy
488,turn page feel like way get back irresponcible year carefree college,joy
489,favourite choice book dvd we uk feel generous limit something like,love
490,feel energetic alive happy long time,joy
491,feel really pathetic confront,sadness
492,feel dangerous game activity,anger
493,feel world class player benzema mould would fantastic,joy
494,feel terribly burden impend anxiety try keep eye prize,sadness
495,feel could unpleasant layer love healing forgiveness expectation thing turn well,sadness
496,feel gloomy complete nothing though suppose complete many thing,sadness
497,work amount would like feel like lifestyle change successful far,joy
498,love porn industry feel satisfied fulfil work say really bring big buck,joy
499,overhear victory tune geek ringtone feel triumphant,joy
500,love child literature author feel need dumb thing kid,sadness
501,soo quiet mixture sleep well feel bit isolated big group,sadness
502,feel greedy money hungry absolutely,anger
503,feel fuck want shut,anger
504,feel passionate certain topic love back position actual knowledge fact instead rely solely opinion,joy
505,feel like today way suffer exam day open book everytime go home,sadness
506,feel surprised make,surprise
507,wake morning hike feel jubilant,joy
508,feel like little kid whose mom proud touch soccer ball game,joy
509,feel miserable inside outside like,sadness
510,must find way accept limitation old without feeling hold back resentful,anger
511,feel incredibly charm people life exciting amazing chapter thing,joy
512,feel wrong judge people make time however also find actually life need responsible action people around we,anger
513,know feeling stem part accept mainstream importantly community seek belongingness,joy
514,really like special edition really feel special song,joy
515,feel must blog constantly loyal fan baker thia sandwich scruncher course mini rex,love
516,currently feel way fuck mother tongue paper,anger
517,feel innocent love,joy
518,feel like sweet carby yet low glycemic meal breakfast often dessert,joy
519,feel safe encode utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlink link rel alternate type application atom xml title could use stand ovation could,joy
520,really lose lot nesting homemaking instinct desire pregnant long pregnant bad get though get month reprieve feel creative around six month mark notice post halloween,joy
521,feel opportunity return moz god gracious gracious way give heat desire despite self doubt uncertainty past,joy
522,feel really lucky find resource always feel answer need asking,joy
523,keep run hill fitness wise feel fine along foot calf start hurt also begin tire,joy
524,always sensitive every sense feel like assault drag away darkness,fear
525,suppose ought feel thankful add sarcastic edge age,joy
526,could not help feel totally distraught utterly helpless lorena kidnap torture almost death band enemy desperate freedom,fear
527,feel unfortunate mister magnum sound cheer travel well long period race,sadness
528,feel tortured tragic enough without importance sparkle,anger
529,feel selfish thinking way feel lonely time,anger
530,feel drain energy,sadness
531,think day chat mom amp also feel horny masturbate,love
532,feel pretty stinkin shitty horrible reviewer,sadness
533,feel helpless,sadness
534,feel awful sunday,sadness
535,not know start feel weird pressure largely silent audience falsely inflated sense importance express ever articulate opinion say audience,surprise
536,wake nap feel extremely agitated grumpy,fear
537,study really hard discover pretty word never cross mind portray exact meaning feel like miss lot,sadness
538,feel lonely work social bird usually school,sadness
539,love comment feel free post one,joy
540,feel intimidate great woman family tree,fear
541,truly feel lot positive thing help condition worker family kid,joy
542,think may reason would want fly back uae oblivious conflict plague conflict feel helpless resolve,sadness
543,see video cena kissing maria surprisingly not feel like hate,sadness
544,feel like rather unkind,anger
545,feel submissive,sadness
546,feel bit obnoxious definately weather,anger
547,say press torso siwon bring face close enough feel siwon agitated breath,anger
548,indifferent tell feeling word treasure ever since feeling start bloom one moment want keep,love
549,feel casual entire future,joy
550,still feel strong miss couple lift,joy
551,sit couch several hour feel pretty low,sadness
552,check long time ago say happy way back feel content everyone everything around,joy
553,write something big happen like fun trip milestone time write tell feel sweet baby snuggle grow personality,joy
554,hate expectation must need man life feel worthwhile value,joy
555,feel love kindness allow we think feel conscious interact various thing body mind,love
